"Genotype","Day","n","std","sem"
"C1",0,3,6651.4727191302,3840.22956489727
"C1",1,3,3889.7784427051,2245.76463098379
"C1",2,3,4280.26650260627,2471.21301748307
"C1",3,3,5264.24467516471,3039.3130802864
"C1",4,3,1410.08758593216,814.114447318885
"C1",5,3,1577.54535064236,910.79623285221
"C1",6,3,2131.06827671006,1230.37284322003
"C1",7,3,3540.60432694759,2044.16886125715
"C1",8,3,1724.51065522948,995.646691017116
"C1",9,3,5496.94269571732,3173.66134509234
"C1",10,3,3008.97263751822,1737.23116225536
"C1",11,3,3882.39054363846,2241.49922546892
"C1",12,3,2877.60618107018,1661.3867032626
"C1",13,3,3789.76767097932,2188.02338500605
"C1",14,3,6997.28063845758,4039.88186020884
"C1",15,3,5309.00414390496,3065.15497161237
"C1",16,3,2479.09466001872,1431.30596930837
"C1",17,3,3839.07493197689,2216.490945416
"C1",18,3,6387.70008166737,3687.94036165325
"C1",19,3,6787.36225151814,3918.6854230015
"C1",20,3,6440.12890657736,3718.21015782833
"C1",21,3,5791.66162110092,3343.81739599784
"C1",22,3,2249.74161479343,1298.88892690809
"C1",23,3,2257.09466645361,1303.13421326346
"C1",24,3,1029.70286976389,594.499229043515
"C1",25,3,6332.71082028331,3656.19229679063
"C1",26,3,2356.06564707636,1360.27513556796
"C1",27,3,2756.2105023625,1591.29887548226
"C1",28,3,3723.40386385003,2149.70822309551
"C1",29,3,4164.88467227285,2404.59728668048
"C1",30,3,2794.91222283157,1613.64332421318
"C1",31,3,2511.78031151877,1450.17703900056
"C1",32,3,1770.59001465613,1022.25062158618
"C1",33,3,5988.91061323621,3457.69915470453
"C1",34,3,3773.09956578585,2178.40004998572
"C1",35,3,4656.24057940881,2688.28175193334
"C1",36,3,4530.37095611386,2615.6108910412
"C1",37,3,1799.41138524056,1038.89064765151
"C1",38,3,5176.07827735761,2988.41018677899
"C1",39,3,5669.1526997721,3273.08683729052
"C1",40,3,2929.80750220898,1691.52515007414
"C1",41,3,3835.20642643044,2214.2574626974
"C1",42,3,3542.23747557011,2045.11176005399
"C1",43,3,7683.6928838504,4436.18215486144
"C1",44,3,7973.42588435695,4603.45958069701
"C1",45,3,5666.49109531934,3271.55015924324
"C1",46,3,2898.35338310106,1673.36510594006
"C1",47,3,3897.94334660386,2250.47864044765
"C1",48,3,3628.63780685443,2094.99501457906
"C1",49,3,1535.48048940172,886.510073891499
"C1",50,3,2745.61814533631,1585.18337530184
"C1",51,3,3562.74781594207,2056.95341058891
"C1",52,3,4409.97509441191,2546.10030787826
"C1",53,3,8734.55129547782,5042.89554169472
"C1",54,3,3268.04166640105,1886.80473581956
"C1",55,3,NA,NA
"C2",0,2,5873.93603131665,4153.5
"C2",1,2,2393.55645431646,1692.5
"C2",2,2,2603.56716832887,1841
"C2",3,2,1714.73394437738,1212.5
"C2",4,2,5340.77751830199,3776.5
"C2",5,2,1081.87337521542,765
"C2",6,2,2027.27514166183,1433.5
"C2",7,2,1926.15887195216,1362
"C2",8,2,4863.48044100107,3439
"C2",9,2,20.5060966544099,14.5
"C2",10,2,3363.70695810441,2378.5
"C2",11,2,2153.14014871304,1522.5
"C2",12,2,3513.61359571595,2484.5
"C2",13,2,1695.64206128534,1199
"C2",14,2,1959.39289066792,1385.5
"C2",15,2,194.454364826301,137.5
"C2",16,2,1614.32478144889,1141.5
"C2",17,2,470.933116270241,333
"C2",18,2,10914.9002743955,7718
"C2",19,2,4134.45334959774,2923.5
"C2",20,2,3047.63022691402,2155
"C2",21,2,5057.22769904619,3576
"C2",22,2,2463.56002565393,1742
"C2",23,2,2507.4006460875,1773
"C2",24,2,6823.58043845018,4825
"C2",25,2,6152.53610310415,4350.5
"C2",26,2,5655.44003593001,3999
"C2",27,2,4017.07362392078,2840.5
"C2",28,2,4019.19494426434,2842
"C2",29,2,3830.39743368753,2708.5
"C2",30,2,3920.19999489822,2772
"C2",31,2,813.17279836453,575
"C2",32,2,4699.4316677658,3323
"C2",33,2,2174.35335214863,1537.5
"C2",34,2,2487.60165621427,1759
"C2",35,2,1749.38217665552,1237
"C2",36,2,1774.13091399705,1254.5
"C2",37,2,4347.29249073489,3074
"C2",38,2,4248.29754136878,3004
"C2",39,2,5947.47513656005,4205.5
"C2",40,2,2694.07683632075,1905
"C2",41,2,3537.6552262763,2501.5
"C2",42,2,5944.6467094353,4203.5
"C2",43,2,5608.06388159051,3965.5
"C2",44,2,5893.02791440869,4167
"C2",45,2,3920.19999489822,2772
"C2",46,2,3104.90587619013,2195.5
"C2",47,2,6583.16413284676,4655
"C2",48,2,11531.4973875902,8154
"C2",49,2,7774.63905914609,5497.5
"C2",50,2,8193.24627360853,5793.5
"C2",51,2,7052.68303555463,4987
"C2",52,2,2944.39263686078,2082
"C2",53,2,9580.58977829653,6774.5
"C2",54,2,5429.16586595031,3839
"C2",55,2,NA,NA
"Exp group",0,3,9632.17765270831,5561.14036067344
"Exp group",1,3,5133.70519215897,2963.94607463316
"Exp group",2,3,7992.07784830286,4614.2282971021
"Exp group",3,3,6265.42233213372,3617.3432700441
"Exp group",4,3,8051.7569097268,4648.6840192802
"Exp group",5,3,5778.77152458317,3336.37529530344
"Exp group",6,3,10382.7749823125,5994.49793097341
"Exp group",7,3,7296.30187149627,4212.52184959714
"Exp group",8,3,9108.37175350238,5258.72088376378
"Exp group",9,3,2804.68304804661,1619.28451278129
"Exp group",10,3,2998.44631990191,1731.15378994601
"Exp group",11,3,2864.3535047197,1653.73526700416
"Exp group",12,3,2881.63130882492,1663.71061185532
"Exp group",13,3,4479.16387286735,2586.04646774441
"Exp group",14,3,2182.06301467212,1259.81466890968
"Exp group",15,3,884.762303295825,510.817753976678
"Exp group",16,3,1034.93590783842,597.520524984521
"Exp group",17,3,1197.93920268657,691.630521143896
"Exp group",18,3,10240.4845588478,5912.34651668298
"Exp group",19,3,9432.43240102997,5445.8173858476
"Exp group",20,3,3652.35832488179,2108.69006204747
"Exp group",21,3,5445.61606554606,3144.02790134637
"Exp group",22,3,4078.1369929581,2354.51349067653
"Exp group",23,3,4435.82532718922,2561.02494673085
"Exp group",24,3,5320.64698446846,3071.87696874584
"Exp group",25,3,3562.26575838094,2056.67509452622
"Exp group",26,3,1876.11415786282,1083.17501407257
"Exp group",27,3,3829.60716001002,2211.0247247223
"Exp group",28,3,4064.40438440862,2346.58496543381
"Exp group",29,3,6055.34229695839,3496.05350518425
"Exp group",30,3,5111.27912888088,2950.99838096269
"Exp group",31,3,3583.18187276802,2068.751018798
"Exp group",32,3,5717.93252262855,3301.24988114771
"Exp group",33,3,5011.97994808439,2893.66797219953
"Exp group",34,3,6910.61625327293,3989.84615409333
"Exp group",35,3,5317.46427663913,3070.03943152382
"Exp group",36,3,2880.89413203609,1663.28500263785
"Exp group",37,3,2947.00090487488,1701.45176573158
"Exp group",38,3,4807.18184941378,2775.42773480253
"Exp group",39,3,2117.08911794788,1222.30197214564
"Exp group",40,3,6104.61063459415,3524.49859318079
"Exp group",41,3,9478.07651020677,5472.17002456775
"Exp group",42,3,6837.03144646856,3947.36194607656
"Exp group",43,3,6777.67747831069,3913.09391658314
"Exp group",44,3,5721.91448147675,3303.54886616062
"Exp group",45,3,1091.5682907328,630.217246493444
"Exp group",46,3,5771.97022976846,3332.44856591132
"Exp group",47,3,4911.59040773285,2835.70804405374
"Exp group",48,3,3722.07688439309,2148.94209114883
"Exp group",49,3,4202.47645244246,2426.30091108072
"Exp group",50,3,2700.14221847665,1558.92783668777
"Exp group",51,3,1781.25358479171,1028.40723667448
"Exp group",52,3,3025.07955818245,1746.53049723667
"Exp group",53,3,2563.05137157516,1479.77839932576
"Exp group",54,3,746.528186563196,431.008249469904
"Exp group",55,3,NA,NA
