time,mouse,activity,sex,genotype
1,18,996.384615384615,Female,C1
2,18,1115.4358974359,Female,C1
3,18,1312.30769230769,Female,C1
4,18,1345.87179487179,Female,C1
5,18,1252.51282051282,Female,C1
6,18,1139.61538461538,Female,C1
7,18,964.153846153846,Female,C1
8,18,980.205128205128,Female,C1
9,18,842.333333333333,Female,C1
10,18,626.974358974359,Female,C1
11,18,598.307692307692,Female,C1
12,18,396.333333333333,Female,C1
13,18,47.4102564102564,Female,C1
14,18,14.025641025641,Female,C1
15,18,0,Female,C1
16,18,0,Female,C1
17,18,0.0256410256410256,Female,C1
18,18,0,Female,C1
19,18,0.128205128205128,Female,C1
20,18,1.61538461538462,Female,C1
21,18,1.20512820512821,Female,C1
22,18,1.41025641025641,Female,C1
23,18,4.35897435897436,Female,C1
24,18,2.23076923076923,Female,C1
25,18,0.179487179487179,Female,C1
26,18,1.23076923076923,Female,C1
27,18,3.33333333333333,Female,C1
28,18,2.58974358974359,Female,C1
29,18,0.461538461538462,Female,C1
30,18,1.66666666666667,Female,C1
31,18,2.74358974358974,Female,C1
32,18,3.05128205128205,Female,C1
33,18,0.692307692307692,Female,C1
34,18,0.128205128205128,Female,C1
35,18,5.30769230769231,Female,C1
36,18,0.769230769230769,Female,C1
37,18,428.923076923077,Female,C1
38,18,1807.76923076923,Female,C1
39,18,1842.4358974359,Female,C1
40,18,1887.20512820513,Female,C1
41,18,1788.94871794872,Female,C1
42,18,1772.38461538462,Female,C1
43,18,1741.92307692308,Female,C1
44,18,1616.51282051282,Female,C1
45,18,1580.35897435897,Female,C1
46,18,1475.71794871795,Female,C1
47,18,NA,Female,C1
48,18,1067.46153846154,Female,C1
1,1,1681.92307692308,Male,Exp group
2,1,1414.35897435897,Male,Exp group
3,1,1353.89743589744,Male,Exp group
4,1,1268.71794871795,Male,Exp group
5,1,1275.07692307692,Male,Exp group
6,1,1109.41025641026,Male,Exp group
7,1,938.205128205128,Male,Exp group
8,1,761.025641025641,Male,Exp group
9,1,690.205128205128,Male,Exp group
10,1,485.179487179487,Male,Exp group
11,1,507.48717948718,Male,Exp group
12,1,436.205128205128,Male,Exp group
13,1,15.2051282051282,Male,Exp group
14,1,1.20512820512821,Male,Exp group
15,1,6.28205128205128,Male,Exp group
16,1,1.17948717948718,Male,Exp group
17,1,0.102564102564103,Male,Exp group
18,1,6.43589743589744,Male,Exp group
19,1,1.66666666666667,Male,Exp group
20,1,2.30769230769231,Male,Exp group
21,1,0.358974358974359,Male,Exp group
22,1,6.35897435897436,Male,Exp group
23,1,0.897435897435897,Male,Exp group
24,1,6.23076923076923,Male,Exp group
25,1,0.102564102564103,Male,Exp group
26,1,0.794871794871795,Male,Exp group
27,1,2.76923076923077,Male,Exp group
28,1,5.43589743589744,Male,Exp group
29,1,5.48717948717949,Male,Exp group
30,1,3.56410256410256,Male,Exp group
31,1,0.794871794871795,Male,Exp group
32,1,11.2820512820513,Male,Exp group
33,1,0.615384615384615,Male,Exp group
34,1,0.384615384615385,Male,Exp group
35,1,0.153846153846154,Male,Exp group
36,1,0.692307692307692,Male,Exp group
37,1,232.871794871795,Male,Exp group
38,1,1502.33333333333,Male,Exp group
39,1,1981.87179487179,Male,Exp group
40,1,2027.20512820513,Male,Exp group
41,1,1908.53846153846,Male,Exp group
42,1,1947.97435897436,Male,Exp group
43,1,1900.74358974359,Male,Exp group
44,1,1824.66666666667,Male,Exp group
45,1,1867.17948717949,Male,Exp group
46,1,1880.05128205128,Male,Exp group
47,1,NA,Male,Exp group
48,1,1693.33333333333,Male,Exp group
1,25,1646.46153846154,Female,C2
2,25,1505.38461538462,Female,C2
3,25,1514,Female,C2
4,25,1430.5641025641,Female,C2
5,25,1410.87179487179,Female,C2
6,25,1080.17948717949,Female,C2
7,25,950.179487179487,Female,C2
8,25,678.974358974359,Female,C2
9,25,483,Female,C2
10,25,492.538461538462,Female,C2
11,25,586.948717948718,Female,C2
12,25,274.025641025641,Female,C2
13,25,27.7948717948718,Female,C2
14,25,6.69230769230769,Female,C2
15,25,3.25641025641026,Female,C2
16,25,0.615384615384615,Female,C2
17,25,3.12820512820513,Female,C2
18,25,3.76923076923077,Female,C2
19,25,8.28205128205128,Female,C2
20,25,2.33333333333333,Female,C2
21,25,0.871794871794872,Female,C2
22,25,3.92307692307692,Female,C2
23,25,0.769230769230769,Female,C2
24,25,3.15384615384615,Female,C2
25,25,1.97435897435897,Female,C2
26,25,1.92307692307692,Female,C2
27,25,1.46153846153846,Female,C2
28,25,1.02564102564103,Female,C2
29,25,1.64102564102564,Female,C2
30,25,2.82051282051282,Female,C2
31,25,0.153846153846154,Female,C2
32,25,2.56410256410256,Female,C2
33,25,0.58974358974359,Female,C2
34,25,0.538461538461538,Female,C2
35,25,1.05128205128205,Female,C2
36,25,0.615384615384615,Female,C2
37,25,201.051282051282,Female,C2
38,25,1461.97435897436,Female,C2
39,25,1736.23076923077,Female,C2
40,25,1816.25641025641,Female,C2
41,25,1686.23076923077,Female,C2
42,25,1654.74358974359,Female,C2
43,25,1669.64102564103,Female,C2
44,25,1732.69230769231,Female,C2
45,25,1644.76923076923,Female,C2
46,25,1696.64102564103,Female,C2
47,25,NA,Female,C2
48,25,1553.23076923077,Female,C2
1,7,1533.46153846154,Female,Exp group
2,7,1525.4358974359,Female,Exp group
3,7,1576.10256410256,Female,Exp group
4,7,1517.46153846154,Female,Exp group
5,7,1337.89743589744,Female,Exp group
6,7,1036.87179487179,Female,Exp group
7,7,837.487179487179,Female,Exp group
8,7,709.897435897436,Female,Exp group
9,7,513.307692307692,Female,Exp group
10,7,434.897435897436,Female,Exp group
11,7,403.51282051282,Female,Exp group
12,7,235.051282051282,Female,Exp group
13,7,32,Female,Exp group
14,7,11.1282051282051,Female,Exp group
15,7,7.46153846153846,Female,Exp group
16,7,0.666666666666667,Female,Exp group
17,7,4.28205128205128,Female,Exp group
18,7,0.205128205128205,Female,Exp group
19,7,0.58974358974359,Female,Exp group
20,7,17.7179487179487,Female,Exp group
21,7,20.4102564102564,Female,Exp group
22,7,48.9487179487179,Female,Exp group
23,7,45.5897435897436,Female,Exp group
24,7,35.5897435897436,Female,Exp group
25,7,0.743589743589744,Female,Exp group
26,7,25.4615384615385,Female,Exp group
27,7,27.8717948717949,Female,Exp group
28,7,21.4102564102564,Female,Exp group
29,7,31.2051282051282,Female,Exp group
30,7,14.8461538461538,Female,Exp group
31,7,1.1025641025641,Female,Exp group
32,7,4.41025641025641,Female,Exp group
33,7,5.07692307692308,Female,Exp group
34,7,0.512820512820513,Female,Exp group
35,7,14.6153846153846,Female,Exp group
36,7,125.948717948718,Female,Exp group
37,7,1443.12820512821,Female,Exp group
38,7,2027.30769230769,Female,Exp group
39,7,1980.79487179487,Female,Exp group
40,7,2053.79487179487,Female,Exp group
41,7,1854.15384615385,Female,Exp group
42,7,1936.4358974359,Female,Exp group
43,7,1816.5641025641,Female,Exp group
44,7,1925.76923076923,Female,Exp group
45,7,1681.74358974359,Female,Exp group
46,7,1690.46153846154,Female,Exp group
47,7,NA,Female,Exp group
48,7,1646.41025641026,Female,Exp group
1,11,1318.64102564103,Male,C1
2,11,1078.23076923077,Male,C1
3,11,983.282051282051,Male,C1
4,11,718.128205128205,Male,C1
5,11,633.333333333333,Male,C1
6,11,522.897435897436,Male,C1
7,11,468.871794871795,Male,C1
8,11,468.205128205128,Male,C1
9,11,300.128205128205,Male,C1
10,11,249.538461538462,Male,C1
11,11,281.461538461538,Male,C1
12,11,160.205128205128,Male,C1
13,11,14.4358974358974,Male,C1
14,11,1.07692307692308,Male,C1
15,11,0.948717948717949,Male,C1
16,11,0,Male,C1
17,11,0.128205128205128,Male,C1
18,11,0.487179487179487,Male,C1
19,11,0.538461538461538,Male,C1
20,11,1.02564102564103,Male,C1
21,11,0,Male,C1
22,11,2.30769230769231,Male,C1
23,11,1.64102564102564,Male,C1
24,11,0.179487179487179,Male,C1
25,11,1.64102564102564,Male,C1
26,11,0.641025641025641,Male,C1
27,11,0.0256410256410256,Male,C1
28,11,1.84615384615385,Male,C1
29,11,0.0769230769230769,Male,C1
30,11,1.20512820512821,Male,C1
31,11,0.179487179487179,Male,C1
32,11,0.974358974358974,Male,C1
33,11,0.358974358974359,Male,C1
34,11,0.179487179487179,Male,C1
35,11,0.128205128205128,Male,C1
36,11,0.0769230769230769,Male,C1
37,11,231.820512820513,Male,C1
38,11,1668.84615384615,Male,C1
39,11,2050.79487179487,Male,C1
40,11,2115.12820512821,Male,C1
41,11,2060.33333333333,Male,C1
42,11,2117.38461538462,Male,C1
43,11,2038.61538461538,Male,C1
44,11,2107.35897435897,Male,C1
45,11,2042.89743589744,Male,C1
46,11,2009.07692307692,Male,C1
47,11,NA,Male,C1
48,11,1670.33333333333,Male,C1
